@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {cbc,cnn,torontostar,reuters,nytimes,onion}


@data
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8.0,4.5,1,cbc
0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,4.0,6.13,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4.5,4.11,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8.0,5.0,1,cbc
0,0,0,0,1,1,0,1,0,0,0,6,4,1,0,0,2,4.67,3.14,6,cbc
0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,3.5,4.14,2,cbc
0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.0,5.5,2,cbc
0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,5.5,4.73,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,7.0,6.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,5.14,1,cbc
0,0,1,0,0,0,0,0,0,0,0,11,0,2,0,2,0,8.67,3.88,3,cbc
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5.0,3.5,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,3.63,1,cbc
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,7.0,3.86,1,cbc
0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,9.0,4.11,1,cbc
0,0,0,1,0,0,0,0,1,0,0,7,3,0,0,0,1,16.0,4.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4.5,3.78,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.0,5.22,1,cbc
0,0,0,0,0,0,1,1,0,0,0,7,0,1,0,0,1,6.0,4.58,2,cbc
0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,10.0,4.9,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.5,4.67,2,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8.0,6.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12.0,5.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,4.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9.0,4.22,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9.0,3.89,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,8.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,9.0,5.22,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.0,5.43,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,7.0,5.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.57,1,cbc
0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,4.5,4.22,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11.0,3.55,1,cbc
0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,1,3.67,2.36,3,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,6.0,1,cbc
0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,4.0,3.75,2,cbc
0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,10.0,4.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.0,5.44,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,3.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,4.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,5.83,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,4.8,1,cbc
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,10.0,4.3,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,3.78,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8.0,3.75,1,cbc
0,0,1,0,1,0,0,0,0,0,0,9,1,2,0,0,1,7.0,3.57,4,cbc
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,9.0,3.78,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4.0,5.13,2,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9.0,4.44,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,9.0,3.11,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,4.89,1,cbc
0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,6.5,4.15,2,cbc
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10.0,4.85,2,cbc
0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,7.0,5.14,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,9.0,4.44,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,8.0,3.63,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6.0,5.67,1,cbc
1,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,5.5,3.55,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4.0,2.88,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,12.0,3.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,3.9,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,11.0,3.64,1,cbc
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,8.0,3.88,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6.0,5.33,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.0,4.56,1,cbc
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,10.0,4.5,1,cbc
0,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,5.5,3.73,2,cbc
0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,1,4.0,4.63,2,cbc
0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,4.5,3.44,2,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6.0,6.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,3.67,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.86,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,9.0,4.67,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,4.88,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.5,3.55,2,cbc
0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,2,4.0,5.0,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,4.29,1,cbc
0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,4.0,2.75,3,cbc
0,0,0,1,0,0,0,1,0,0,0,11,3,0,0,0,2,12.0,4.58,2,cbc
0,0,0,1,0,0,0,0,0,0,0,4,1,1,2,0,0,13.0,4.77,1,cbc
0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,9.0,4.56,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,6.0,3.17,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,5.17,1,cbc
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9.0,3.89,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4.0,5.0,2,cbc
0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,15.0,5.07,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,8.0,4.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.13,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,4.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,8.5,5.76,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,6.0,5.33,1,cbc
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,9.0,5.78,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,9.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.57,1,cbc
0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,11.0,3.36,1,cbc
0,0,0,0,0,0,1,1,1,0,0,7,2,0,1,0,0,9.0,5.33,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,10.0,4.7,1,cbc
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,9.0,4.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,3.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,8.0,4.75,1,cbc
0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,8.0,4.88,1,cbc
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,6.0,5.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.25,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7.0,5.14,1,cbc
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,8.0,4.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,8.0,3.88,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9.0,4.67,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,3.75,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,5.0,4.6,1,cbc
1,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,9.0,4.11,1,cbc
0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,10.0,3.9,1,cbc
0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,2,6.0,3.58,2,cbc
0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,8.0,5.13,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,10.0,4.3,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4.0,5.38,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4.5,3.78,2,cbc
0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,9.0,4.89,1,cbc
0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,7.5,5.0,2,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,5.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.13,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,3.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.43,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.0,3.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10.0,4.1,1,cbc
0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9.0,4.33,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.63,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9.0,4.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,5.83,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,9.0,3.11,1,cbc
0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,5.0,3.1,2,cbc
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,8.0,5.0,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,10.0,3.8,1,cbc
0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,7.0,4.71,2,cbc
0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,16.0,6.31,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,9.0,5.22,1,cbc
1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.5,4.54,2,cbc
0,0,0,0,0,0,1,0,0,0,0,9,4,0,0,0,2,7.0,4.29,3,cbc
0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8.0,4.88,1,cbc
0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,7.0,4.57,1,cbc
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5.0,3.7,2,cbc
0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,2,5.0,4.1,2,cbc
0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4.5,3.67,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,4.33,1,cbc
0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,9.0,4.56,1,cbc
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6.0,6.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10.0,4.3,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,10.0,4.1,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,12.0,3.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6.0,3.17,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,5.86,1,cbc
0,0,0,1,0,0,0,0,0,0,0,6,1,1,0,0,1,8.5,3.88,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4.0,3.38,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6.0,6.17,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,10.0,4.1,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,5.13,1,cbc
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,7.0,5.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,5.17,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,6.0,5.67,1,cbc
0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,10.0,4.3,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8.0,4.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.0,4.0,1,cbc
0,0,0,0,0,1,1,1,0,0,0,6,2,1,0,0,0,8.0,4.75,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8.0,4.5,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,7.0,4.0,1,cbc
0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,8.0,5.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,5.0,1,cbc
0,0,0,0,0,0,0,1,0,0,0,4,2,2,0,0,2,7.0,3.71,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.88,1,cbc
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4.5,3.22,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,9.0,4.78,1,cbc
0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,7.0,4.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,9.0,5.56,1,cbc
0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0,0,21.0,4.86,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,10.0,4.4,1,cbc
0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,13.0,6.54,1,cbc
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10.0,5.0,1,cbc
0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,7.0,6.71,1,cbc
0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,3.5,4.57,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,8.0,4.75,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8.0,5.38,1,cbc
0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,8.0,5.25,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.63,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,9.0,4.67,1,cbc
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8.0,3.63,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,7.0,5.29,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,5.38,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,7.0,5.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3.67,2.73,3,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.71,1,cbc
0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,1,10.0,4.8,1,cbc
0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,4.5,3.89,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9.0,6.0,1,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7.0,6.43,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5.0,2.9,2,cbc
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,9.0,3.78,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7.0,5.29,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5.0,2.7,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9.0,4.33,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5.0,3.9,2,cbc
0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,9.0,3.44,1,cbc
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,5.71,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,7.14,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4.0,4.13,2,cbc
0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10.0,5.1,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7.0,5.86,1,cbc
0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,1,9.0,4.89,1,cbc
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,8.0,4.13,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,5.75,1,cbc
0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,4.5,3.89,2,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,9.0,4.33,1,cbc
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6.0,6.0,1,cbc
0,0,1,1,0,0,0,0,0,0,0,5,3,2,0,0,1,11.5,4.22,2,cbc
0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,9.0,4.44,1,cbc
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10.0,4.6,1,cbc
